epoch,action,reward,iou_improvement,loss_reduction,efficiency_penalty
0,2,0.990000,0.500000,inf,0.010000
1,2,-0.010000,0.000000,0.000000,0.010000
2,0,0.000000,0.000000,0.000000,0.000000
3,4,-0.020000,0.000000,0.000000,0.020000
4,6,-0.030000,0.000000,0.000000,0.030000
5,5,-0.025000,0.000000,0.000000,0.025000
6,2,-0.010000,0.000000,0.000000,0.010000
7,6,-0.030000,0.000000,0.000000,0.030000
8,4,-0.020000,0.000000,0.000000,0.020000
9,6,-0.030000,0.000000,0.000000,0.030000
10,2,-0.010000,0.000000,0.000000,0.010000
11,2,-0.010000,0.000000,0.000000,0.010000
12,1,-0.005000,0.000000,0.000000,0.005000
13,6,-0.030000,0.000000,0.000000,0.030000
14,3,-0.015000,0.000000,0.000000,0.015000
15,0,0.000000,0.000000,0.000000,0.000000
16,1,-0.005000,0.000000,0.000000,0.005000
17,6,-0.030000,0.000000,0.000000,0.030000
18,0,0.000000,0.000000,0.000000,0.000000
19,4,-0.020000,0.000000,0.000000,0.020000
20,3,-0.015000,0.000000,0.000000,0.015000
21,2,-0.010000,0.000000,0.000000,0.010000
22,2,-0.010000,0.000000,0.000000,0.010000
23,4,-0.020000,0.000000,0.000000,0.020000
24,1,-0.005000,0.000000,0.000000,0.005000
25,6,-0.030000,0.000000,0.000000,0.030000
26,6,-0.030000,0.000000,0.000000,0.030000
27,2,-0.010000,0.000000,0.000000,0.010000
28,6,-0.030000,0.000000,0.000000,0.030000
29,5,-0.025000,0.000000,0.000000,0.025000
30,5,-0.025000,0.000000,0.000000,0.025000
31,1,-0.005000,0.000000,0.000000,0.005000
32,6,-0.030000,0.000000,0.000000,0.030000
33,3,-0.015000,0.000000,0.000000,0.015000
34,0,0.000000,0.000000,0.000000,0.000000
35,4,-0.020000,0.000000,0.000000,0.020000
36,4,-0.020000,0.000000,0.000000,0.020000
37,5,-0.025000,0.000000,0.000000,0.025000
38,2,-0.010000,0.000000,0.000000,0.010000
39,0,0.000000,0.000000,0.000000,0.000000
40,1,-0.005000,0.000000,0.000000,0.005000
41,4,-0.020000,0.000000,0.000000,0.020000
42,3,-0.015000,0.000000,0.000000,0.015000
43,5,-0.025000,0.000000,0.000000,0.025000
44,1,-0.005000,0.000000,0.000000,0.005000
45,3,-0.015000,0.000000,0.000000,0.015000
46,5,-0.025000,0.000000,0.000000,0.025000
47,0,0.000000,0.000000,0.000000,0.000000
48,1,-0.005000,0.000000,0.000000,0.005000
49,0,0.000000,0.000000,0.000000,0.000000
50,5,-0.025000,0.000000,0.000000,0.025000
51,0,0.000000,0.000000,0.000000,0.000000
52,4,-0.020000,0.000000,0.000000,0.020000
53,2,-0.010000,0.000000,0.000000,0.010000
54,5,-0.025000,0.000000,0.000000,0.025000
55,4,-0.020000,0.000000,0.000000,0.020000
56,5,-0.025000,0.000000,0.000000,0.025000
57,4,-0.020000,0.000000,0.000000,0.020000
58,4,-0.020000,0.000000,0.000000,0.020000
59,5,-0.025000,0.000000,0.000000,0.025000
60,5,-0.025000,0.000000,0.000000,0.025000
61,1,-0.005000,0.000000,0.000000,0.005000
62,5,-0.025000,0.000000,0.000000,0.025000
63,1,-0.005000,0.000000,0.000000,0.005000
64,2,-0.010000,0.000000,0.000000,0.010000
65,6,-0.030000,0.000000,0.000000,0.030000
66,4,-0.020000,0.000000,0.000000,0.020000
67,3,-0.015000,0.000000,0.000000,0.015000
68,4,-0.020000,0.000000,0.000000,0.020000
69,1,-0.005000,0.000000,0.000000,0.005000
70,6,-0.030000,0.000000,0.000000,0.030000
71,6,-0.030000,0.000000,0.000000,0.030000
72,5,-0.025000,0.000000,0.000000,0.025000
73,1,-0.005000,0.000000,0.000000,0.005000
74,4,-0.020000,0.000000,0.000000,0.020000
75,3,-0.015000,0.000000,0.000000,0.015000
76,0,0.000000,0.000000,0.000000,0.000000
77,5,-0.025000,0.000000,0.000000,0.025000
78,4,-0.020000,0.000000,0.000000,0.020000
79,4,-0.020000,0.000000,0.000000,0.020000
80,5,-0.025000,0.000000,0.000000,0.025000
81,2,-0.010000,0.000000,0.000000,0.010000
82,5,-0.025000,0.000000,0.000000,0.025000
83,4,-0.020000,0.000000,0.000000,0.020000
84,5,-0.025000,0.000000,0.000000,0.025000
85,6,-0.030000,0.000000,0.000000,0.030000
86,1,-0.005000,0.000000,0.000000,0.005000
87,1,-0.005000,0.000000,0.000000,0.005000
88,6,-0.030000,0.000000,0.000000,0.030000
89,6,-0.030000,0.000000,0.000000,0.030000
90,6,-0.030000,0.000000,0.000000,0.030000
91,5,-0.025000,0.000000,0.000000,0.025000
92,5,-0.025000,0.000000,0.000000,0.025000
93,0,0.000000,0.000000,0.000000,0.000000
94,0,0.000000,0.000000,0.000000,0.000000
95,3,-0.015000,0.000000,0.000000,0.015000
96,2,-0.010000,0.000000,0.000000,0.010000
97,4,-0.020000,0.000000,0.000000,0.020000
98,6,-0.030000,0.000000,0.000000,0.030000
99,0,0.000000,0.000000,0.000000,0.000000
100,3,-0.015000,0.000000,0.000000,0.015000
101,3,-0.015000,0.000000,0.000000,0.015000
102,3,-0.015000,0.000000,0.000000,0.015000
103,2,-0.010000,0.000000,0.000000,0.010000
104,4,-0.020000,0.000000,0.000000,0.020000
105,0,0.000000,0.000000,0.000000,0.000000
106,1,-0.005000,0.000000,0.000000,0.005000
107,5,-0.025000,0.000000,0.000000,0.025000
108,1,-0.005000,0.000000,0.000000,0.005000
109,6,-0.030000,0.000000,0.000000,0.030000
110,5,-0.025000,0.000000,0.000000,0.025000
111,4,-0.020000,0.000000,0.000000,0.020000
112,1,-0.005000,0.000000,0.000000,0.005000
113,3,-0.015000,0.000000,0.000000,0.015000
114,3,-0.015000,0.000000,0.000000,0.015000
115,6,-0.030000,0.000000,0.000000,0.030000
116,6,-0.030000,0.000000,0.000000,0.030000
